Brasil e Região Metropolitana,Índice geral,Índice geral,Índice geral,Índice geral,Índice geral,Índice geral,Índice geral,Índice geral,Índice geral,Índice geral,Índice geral,Índice geral,Índice geral,Índice geral,Índice geral,Índice geral,Índice geral,Índice geral,Índice geral,Índice geral,Índice geral,Índice geral,Índice geral,Índice geral,Índice geral,Índice geral,Índice geral,Índice geral,Índice geral,Índice geral,Índice geral,Índice geral,Índice geral,Índice geral,Índice geral,Índice geral,Índice geral,Índice geral,Índice geral,Índice geral,Índice geral,Índice geral,Índice geral,Índice geral,Índice geral,Índice geral,Índice geral,Índice geral,Índice geral,Índice geral,Índice geral,Índice geral,Índice geral,Índice geral,Índice geral,Índice geral,Índice geral,Índice geral,Índice geral,Índice geral,Índice geral,Índice geral,Índice geral,Índice geral,Índice geral,Índice geral,Índice geral,Índice geral,Índice geral,Índice geral,Índice geral,Índice geral,Índice geral,Índice geral,Índice geral,Índice geral,Índice geral,Índice geral,Índice geral,Índice geral,Índice geral,Índice geral,Índice geral
Recife (PE),0.48,0.22,1.1,0.72,0.79,0.43,0.31,0.05,0.07,-0.12,0.34,1.09,1.27,0.87,0.07,0.05,0.87,0.07,0.29,0.47,0.82,0.35,0.4,1.01,0.74,0.79,0.68,0.59,0.91,0.48,0.95,0.77,0.82,-0.03,0.41,1.04,0.91,0.62,1.58,2.97,2.92,1.7,0.53,1.69,2.03,1.82,-0.27,0.01,0.09,0.87,0.14,0.33,0.66,0.99,0.88,0.69,0.27,-0.09,0.37,0.56,0.34,0.33,0.09,0.63,1.31,0.42,0.54,0.59,0.52,1.16,0.23,0.44,0.01,0.48,1.02,0.94,0.55,0.02,0.58,0.48,0.28,0.36,0.21
Salvador (BA),0.44,0.12,1.13,0.72,0.95,0.46,0.26,-0.11,0.29,0.07,0.43,1.01,1.47,0.19,0.07,0.24,0.45,1.07,0.58,0.3,0.75,0.96,0.36,1.13,1.14,0.93,0.94,0.9,0.87,0.88,0.14,0.58,0.87,0.14,0.87,1.52,0.62,0.94,1.19,3.21,2.37,2.74,1.61,1.19,0.75,0.93,0.36,0.34,0.07,1.37,0.19,0.44,0.14,0.82,0.36,0.67,0.11,0.18,0.38,1.11,0.26,0.25,0.19,0.62,0.59,0.37,0.79,-0.15,0.22,1.11,0.32,0.2,0.19,0.3,1.26,0.67,0.36,0.57,0.44,0.55,0.19,0.5,-0.03
Belo Horizonte (MG),0.48,0.26,0.82,0.97,0.55,0.92,0.09,0.09,0.35,0.25,0.26,1.6,1.13,0.36,0.12,0.13,0.78,0.53,0.2,0.49,1.11,0.34,0.11,0.85,0.73,0.17,0.86,0.37,0.56,1.17,0.05,0.29,0.99,0.3,0.3,0.94,0.64,0.61,1.25,2.58,1.9,2.57,1.19,1.57,1.22,1.37,-0.08,0.45,0.36,0.81,0.35,0.3,0.55,0.66,0.64,0.68,0.67,0.73,0.63,0.69,0.57,0.66,0.34,0.9,1.42,0.51,0.49,0.87,1.25,0.6,-0.1,0.5,0.28,0.32,0.54,0.42,0.4,1.48,0.55,0.64,0.51,0.02,0.15
Rio de Janeiro (RJ),1.03,0.1,0.9,1.17,0.63,0.58,0.26,0.75,0.45,-0.28,0.1,1.31,1.19,0.1,0.09,1.19,1.12,0.64,0.52,0.58,0.55,0.42,0.3,0.96,0.68,0.26,0.76,1.49,1.04,1.11,0.37,0.47,0.61,0.01,0.7,0.99,0.57,0.74,1.14,3.25,2.28,2.48,1.74,1.04,1.36,0.71,-0.03,0.02,0.51,0.38,0.2,0.88,0.56,0.86,0.63,0.11,0.06,0.45,0.64,0.94,1.09,0.37,0.25,0.5,0.84,0.76,0.5,0.29,1.07,0.83,-0.1,-0.07,0.11,0.25,0.34,0.88,0.37,0.8,0.74,0.18,0.38,0.27,-0.33
São Paulo (SP),0.61,0.36,1.42,0.83,0.49,0.67,-0.23,0.14,0.48,-0.07,0.18,1.75,1.38,0.12,0.21,0.13,0.33,0.25,0.29,0.3,0.33,0.28,0.97,1.77,0.67,0.09,0.66,0.56,0.52,0.19,0.32,0.42,0.8,0.34,0.27,1.3,0.66,0.59,1.16,2.88,1.92,2.28,1.61,1.03,0.58,0.39,-0.15,0.26,0.24,0.84,0.21,0.16,0.44,0.49,0.45,0.49,0.29,0.51,0.88,1.19,0.57,0.28,0.58,0.75,0.7,0.53,0.68,0.87,0.73,0.37,-0.02,0.07,0.01,0.47,0.92,0.37,0.26,0.3,0.34,0.37,0.07,-0.01,-0.3
Porto Alegre (RS),0.54,0.37,1.07,0.89,0.43,0.6,0.6,0.11,0.52,0.29,0.57,2,0.92,0.06,-0.08,0.47,0.37,0.57,0.35,0.62,0.8,0.87,0.29,0.97,0.35,0.3,0.9,0.69,0.72,0.47,0.37,1.26,0.88,0.5,0.22,1.34,0.41,0.79,1.48,2.73,2.02,2.02,1.54,1.59,1.26,0.76,-0.36,0,0.42,0.63,0.36,0.21,0.71,0.67,0.56,0.89,0.66,0.89,0.99,0.62,0.4,0.47,0.42,0.52,1.13,0.86,0.54,0.48,1.87,0.35,0.15,0.31,-0.05,0.29,0.53,0.26,0.43,0.4,0.18,0.52,0.48,0.25,-0.13
Brasil,0.56,0.31,1.19,0.95,0.6,0.62,0.13,0.22,0.42,0.01,0.23,1.61,1.31,0.23,0.14,0.32,0.59,0.57,0.46,0.38,0.58,0.41,0.52,1.33,0.7,0.28,0.83,0.71,0.65,0.52,0.36,0.6,0.8,0.21,0.42,1.19,0.65,0.72,1.31,3.02,2.1,2.25,1.57,1.23,0.97,0.61,-0.15,0.2,0.34,0.78,0.29,0.34,0.52,0.76,0.61,0.47,0.37,0.51,0.71,0.91,0.69,0.33,0.44,0.69,0.86,0.58,0.59,0.61,0.87,0.49,-0.02,0.25,0.17,0.35,0.75,0.55,0.36,0.59,0.41,0.43,0.21,0.1,-0.21
