Região Metropolitana,julho 2006,agosto 2006,setembro 2006,outubro 2006,novembro 2006,dezembro 2006,janeiro 2007,fevereiro 2007,março 2007,abril 2007,maio 2007,junho 2007,julho 2007,agosto 2007,setembro 2007,outubro 2007,novembro 2007,dezembro 2007,janeiro 2008,fevereiro 2008,março 2008,abril 2008,maio 2008,junho 2008,julho 2008,agosto 2008,setembro 2008,outubro 2008,novembro 2008,dezembro 2008,janeiro 2009,fevereiro 2009,março 2009,abril 2009,maio 2009,junho 2009,julho 2009,agosto 2009,setembro 2009,outubro 2009,novembro 2009,dezembro 2009,janeiro 2010,fevereiro 2010,março 2010,abril 2010,maio 2010,junho 2010,julho 2010,agosto 2010,setembro 2010,outubro 2010,novembro 2010,dezembro 2010,janeiro 2011,fevereiro 2011,março 2011,abril 2011,maio 2011,junho 2011,julho 2011,agosto 2011,setembro 2011,outubro 2011,novembro 2011,dezembro 2011
Recife (PE),0.16,0.06,0.33,0.23,0.28,0.14,0.43,0.54,0.41,0.16,0.1,0.35,0.28,0.83,0.66,0.28,0.21,1.14,0.59,1.05,0.13,0.82,1.08,0.9,0.29,0.34,0.09,0.62,0.36,0.55,-0.35,0.77,0.26,0.16,0.75,0.52,0.15,0.49,0.41,0.35,0.49,0.53,0.01,0.58,0.61,0.73,0.05,0.06,0.31,-0.38,0.41,0.62,0.54,0.94,0.44,0.82,0.61,0.58,0.64,0.42,0.04,0.6,0.55,0.05,0.54,0.62
Salvador (BA),-0.18,0.04,0.22,0.57,0.25,0.15,0.88,1.09,0.33,0.17,0.25,0.11,0.64,0.68,0.09,0.44,0.22,1.04,0.57,0.39,0.55,0.7,0.34,0.94,0.51,0.11,0.02,0.31,0.16,0.48,0.78,0.48,-0.04,0.02,0.73,0.63,0.04,0.26,0.57,0.12,0.16,0.25,0.58,1.09,0.55,0.62,0.81,0.05,-0.06,-0.13,0.25,0.85,0.99,0.34,0.89,0.75,0.24,0.66,0.63,0.11,0.45,0.39,0.76,-0.02,0.59,0.87
Belo Horizonte (MG),0.29,0.16,0.23,0.27,0.33,0.28,0.65,0.51,0.55,0.29,0.42,0.43,0.54,0.68,0.03,0.3,0.5,0.84,0.72,0.52,0.52,-0.02,0.75,0.88,0.5,0.32,0.16,0.18,0.33,0.36,1.01,0.75,0.1,0.51,0.56,0.14,0.06,0.11,0.31,0.19,0.41,0.46,0.36,0.78,0.82,0.71,0.44,0.15,0,0.02,0.45,0.96,0.64,0.3,1.01,0.71,0.89,0.63,0.83,0.36,0.14,0.41,0.59,0.46,0.22,0.35
Rio de Janeiro (RJ),0.38,0.29,0.44,0.4,0.15,0.28,0.55,0.22,0.11,-0.18,0.15,0.47,0.39,0.45,0.31,0.37,0.27,0.65,0.45,0.45,0.2,0.69,0.63,0.66,0.53,0.49,0.21,0.52,0.41,0.76,0.62,0.61,0.04,0.44,0.57,0.46,0,-0.02,0.26,0.43,0.27,0.11,0.82,0.79,0.81,0.6,0.72,0.15,-0.09,0.04,0.32,0.44,0.98,0.61,0.73,0.73,0.69,0.84,0.61,0.23,0.2,0.5,0.49,0.44,0.39,0.55
São Paulo (SP),0.18,0.05,0.19,0.3,0.24,0.9,0.55,0.44,0.28,0.23,0.32,0.38,-0.13,0.49,0.21,0.17,0.34,0.55,0.51,0.34,0.39,0.4,0.89,0.87,0.6,0.4,0.4,0.53,0.14,0.01,0.24,0.67,0.26,0.46,0.34,0.37,0.57,0.26,0.26,0.28,0.32,0.44,0.97,0.78,0.25,0.46,0.37,0.03,0.02,0.02,0.71,0.76,0.57,0.69,0.85,1.01,0.73,0.8,0.38,0.25,0.14,0.41,0.55,0.35,0.48,0.37
Porto Alegre (RS),0.2,0.04,0.12,0.33,0.09,0.19,-0.05,-0.09,0.53,0.41,0.49,0.33,0.61,0.35,-0.12,0.2,0.56,0.48,0.22,0.3,0.66,0.87,0.87,1.02,0.65,0.22,0.47,0.24,0.71,0.14,0.39,0.38,0.03,0.83,0.55,0.16,0.13,0.09,0.34,0.14,0.59,0.09,0.64,0.74,0.67,0.43,-0.02,-0.08,0.2,0.29,0.24,0.65,0.62,0.61,0.5,0.87,0.63,0.95,0.5,0.21,0.24,0.16,0.58,0.97,0.51,0.2
