Região Metropolitana,janeiro 2012,fevereiro 2012,março 2012,abril 2012,maio 2012,junho 2012,julho 2012,agosto 2012,setembro 2012,outubro 2012,novembro 2012,dezembro 2012,janeiro 2013,fevereiro 2013,março 2013,abril 2013,maio 2013,junho 2013,julho 2013,agosto 2013,setembro 2013,outubro 2013,novembro 2013,dezembro 2013,janeiro 2014,fevereiro 2014,março 2014,abril 2014,maio 2014,junho 2014,julho 2014,agosto 2014,setembro 2014,outubro 2014,novembro 2014,dezembro 2014,janeiro 2015,fevereiro 2015,março 2015,abril 2015,maio 2015,junho 2015,julho 2015,agosto 2015,setembro 2015,outubro 2015,novembro 2015,dezembro 2015,janeiro 2016,fevereiro 2016,março 2016,abril 2016,maio 2016,junho 2016,julho 2016,agosto 2016,setembro 2016,outubro 2016,novembro 2016,dezembro 2016,janeiro 2017,fevereiro 2017,março 2017,abril 2017,maio 2017,junho 2017,julho 2017,agosto 2017,setembro 2017,outubro 2017,novembro 2017,dezembro 2017,janeiro 2018,fevereiro 2018,março 2018,abril 2018,maio 2018,junho 2018,julho 2018,agosto 2018,setembro 2018,outubro 2018,novembro 2018
Recife (PE),0.39,0.76,0.44,0.6,0.6,0.2,0.41,0.52,0.9,0.71,0.41,0.66,0.8,0.89,0.31,0.84,0.71,0.26,0.17,0.34,0.52,0.66,0.36,0.77,0.45,0.49,0.46,0.77,1.13,0.82,-0.08,0.45,0.66,0.24,0.46,0.29,0.44,1.55,0.5,0.74,1.42,1.08,0.88,0.39,0.29,0.82,0.72,0.87,1.16,1.19,-0.07,0.65,0.86,0.48,0.95,0.07,0.5,0.29,0.5,0.31,0.2,0.19,0.5,0.43,0.7,0.04,0.41,0.32,-0.16,0.11,0.18,0.33,-0.09,0.21,-0.34,0.29,0.7,1.55,0.1,0.04,0.25,0.21,-0.18
Salvador (BA),0.23,0.45,0.33,0.35,0.75,0.31,0.64,0.41,0.62,0.87,0.47,0.6,0.73,0.7,0.48,0.33,0.26,0.53,0,0.25,0.07,0.11,0.24,1.21,0.55,0.51,0.69,0.77,0.45,0.83,-0.49,0.45,1.02,0,0.31,0.54,0.69,1.67,0.79,0.5,0.76,1.13,0.46,0.61,0.37,0.58,1.05,0.83,1.43,1.41,-0.22,0.61,0.87,0.54,1.07,0.23,0.12,0.46,-0.21,0.22,0.48,0.54,0.01,-0.23,0.39,0.08,0.43,0.06,0.31,0.45,-0.39,0,0.15,0.53,-0.3,0.34,1.11,1,0.38,-0.17,0.42,0.46,-0.42
Belo Horizonte (MG),0.55,0.62,0.43,0.59,0.67,0.15,0.42,0.37,0.69,0.42,0.5,0.46,0.61,0.85,0.62,0.66,0.49,0.31,0.12,0.03,0.33,0.39,0.47,0.74,0.52,0.75,0.79,0.78,0.71,0.54,0.09,-0.01,0.48,0.32,0.36,0.37,0.93,1.1,1.47,0.67,0.76,0.85,0.72,0.06,0.44,0.57,0.77,0.52,1.02,0.99,0.47,0.73,0.84,0.8,0.72,0.3,-0.01,0.29,0.08,0.18,0.52,0.37,-0.06,-0.06,0.27,-0.36,0.35,0.29,0.25,0.3,-0.15,0.28,0.24,0.34,0.21,0.23,0.23,1.96,0.23,0.01,0.3,0.37,-0.15
Rio de Janeiro (RJ),0.98,1.02,-0.03,0.81,0.06,0.3,0.62,0.48,0.79,0.48,0.41,1.2,0.58,0.3,0.24,0.55,0.63,0.75,-0.05,0.21,0.44,0.55,0.71,1.1,0.36,1.14,1.24,0.4,0.55,0.48,0.03,0.43,0.39,0.52,0.49,1.33,1.58,1.21,1.28,0.78,0.32,0.72,0.56,0.04,0.55,0.6,1.2,1.22,1.66,0.75,0.22,0.6,0.57,0.45,0.61,1.06,-0.1,0.18,0,0.16,0.28,0.74,0.34,0.34,0.23,-0.02,0.03,0.07,0.18,0.12,0.22,0.46,0.29,0.78,0.08,0.29,0.24,1.28,0.69,-0.33,0.42,0.22,-0.05
São Paulo (SP),0.52,0.35,0.05,0.64,0.25,0.04,0.38,0.33,0.52,0.51,0.44,0.59,0.97,0.68,0.43,0.5,0.27,0.33,0.09,0.29,0.4,0.68,0.39,0.91,0.49,1,0.88,0.46,0.17,0.43,0.21,0.19,0.68,0.38,0.44,0.6,1.47,1.26,1.27,0.56,0.73,0.84,0.82,0.28,0.76,0.95,0.82,0.82,1.06,0.84,0.52,0.35,0.96,0.45,0.36,0.59,0.1,0.22,0.2,0.33,0.19,0.29,0.27,0.13,0.4,-0.27,0.4,0.32,0.22,0.48,0.53,0.61,0.17,0.32,0.17,0.08,0.22,1.14,0.64,0.16,0.65,0.39,-0.34
Porto Alegre (RS),0.27,0.45,0.16,0.73,0.43,0.08,0.66,0.6,0.59,0.49,0.34,0.62,0.88,0.37,0.34,0.24,0.46,0.22,0.19,0.48,0.71,0.51,0.56,0.69,0.52,0.45,0.85,1.02,0.75,0.37,0.13,0.2,0.45,0.71,0.31,0.8,1.19,1.13,1.69,0.54,0.98,0.88,0.95,0.33,0.54,0.65,0.95,0.84,1.58,0.96,0.53,0.9,0.94,0.14,0.68,0.47,0.18,0.17,0.24,-0.05,0.18,0.24,0.12,0.2,0.56,0.04,-0.04,0.26,-0.01,0.24,0.43,0.27,0.68,0.11,-0.03,0.36,0.83,1.73,0.13,-0.02,0.5,0.58,-0.58
